RMS,Peak,Mean,STD,Energy,Label
0.82894,1.5007,0.031842,0.82874,687.8208,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.63183,1,-0.027022,0.63157,399.6079,Sag
0.8204,1.4691,0.02983,0.82027,673.7308,Swell
0.87332,1.6602,0.041986,0.87275,763.4511,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.84695,1.5664,0.03602,0.84661,718.0451,Swell
0.83761,1.5325,0.033865,0.83735,702.2961,Swell
0.62288,1,-0.031431,0.6224,388.3666,Sag
0.60454,1,-0.042928,0.60332,365.8396,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.60338,1,-0.04387,0.60208,364.428,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.613,1,-0.037043,0.61219,376.1463,Sag
0.62489,1,-0.030397,0.62446,390.8735,Sag
0.63522,1,-0.025472,0.63502,403.9031,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.77238,1.2836,0.018038,0.77255,597.1616,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.60425,1,-0.043162,0.60301,365.4834,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.60571,1,-0.042024,0.60456,367.2563,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.64461,1,-0.02143,0.64458,415.9375,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.77163,1.2807,0.017848,0.77181,596.0122,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.87925,1.681,0.043305,0.87862,773.8497,Swell
0.88228,1.6915,0.043976,0.88162,779.1895,Swell
0.82657,1.492,0.031287,0.82639,683.906,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.63736,1,-0.024517,0.63721,406.6356,Sag
0.62473,1,-0.030479,0.62429,390.6722,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.76563,1.2564,0.016304,0.76584,586.7751,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.60494,1,-0.042622,0.60373,366.313,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.81509,1.4492,0.028568,0.815,665.038,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.64231,1,-0.022387,0.64224,412.9797,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.76785,1.2654,0.016877,0.76805,590.1811,Swell
0.81025,1.431,0.027407,0.81019,657.1539,Swell
0.86779,1.6408,0.040749,0.86727,753.8197,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.60688,1,-0.041155,0.60579,368.675,Sag
0.78583,1.337,0.021432,0.78593,618.141,Swell
0.61868,1,-0.033697,0.61807,383.1518,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.76735,1.2634,0.016749,0.76755,589.4164,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.84831,1.5713,0.03633,0.84795,720.3441,Swell
0.65022,1,-0.019168,0.65026,423.2043,Sag
0.85352,1.59,0.037521,0.85312,729.2203,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.80683,1.418,0.026583,0.80679,651.618,Swell
0.60882,1,-0.039781,0.60782,371.032,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.64994,1,-0.019275,0.64998,422.8498,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.82992,1.5043,0.032072,0.82971,689.4499,Swell
0.78133,1.3193,0.020306,0.78146,611.09,Swell
0.61931,1,-0.033347,0.61872,383.9312,Sag
0.62404,1,-0.030832,0.62359,389.8102,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.62991,1,-0.027928,0.6296,397.1811,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.62611,1,-0.029779,0.62572,392.4092,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.61428,1,-0.036256,0.61352,377.72,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.63301,1,-0.026474,0.63277,401.105,Sag
0.85654,1.6008,0.038207,0.85611,734.3883,Swell
0.61569,1,-0.035416,0.61497,379.4488,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.6074,1,-0.040781,0.60633,369.3023,Sag
0.87384,1.662,0.042101,0.87326,764.3576,Swell
0.64856,1,-0.019828,0.64858,421.0449,Sag
0.64767,1,-0.020181,0.64768,419.9011,Sag
0.60508,1,-0.04251,0.60389,366.4874,Sag
0.77617,1.2988,0.019003,0.77632,603.0412,Swell
0.8286,1.4995,0.031762,0.8284,687.2589,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.80605,1.4151,0.026395,0.80602,650.3622,Swell
0.61734,1,-0.034454,0.61669,381.4937,Sag
0.61482,1,-0.035929,0.61408,378.3868,Sag
0.78022,1.3149,0.020028,0.78036,609.358,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.61255,1,-0.037325,0.61172,375.5942,Sag
0.6154,1,-0.035584,0.61468,379.0994,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.79483,1.3721,0.02366,0.79487,632.3799,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.64849,1,-0.019856,0.64851,420.9534,Sag
0.86781,1.6408,0.040753,0.86729,753.8508,Swell
0.80416,1.4079,0.025937,0.80414,647.3121,Swell
0.80516,1.4117,0.02618,0.80513,648.9263,Swell
0.63628,1,-0.024995,0.63611,405.2592,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.63856,1,-0.023991,0.63843,408.1719,Sag
0.6186,1,-0.033744,0.61799,383.0471,Sag
0.88059,1.6856,0.043603,0.87995,776.2118,Swell
0.81356,1.4435,0.028201,0.81347,662.5359,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.79479,1.3719,0.023651,0.79484,632.3231,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.87382,1.662,0.042098,0.87325,764.3311,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.60373,1,-0.043578,0.60246,364.8582,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.63464,1,-0.025731,0.63444,403.1706,Sag
0.60746,1,-0.04074,0.60639,369.372,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.6061,1,-0.041736,0.60496,367.7193,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.64954,1,-0.019436,0.64957,422.3208,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.64862,1,-0.019802,0.64864,421.1294,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.83607,1.5269,0.033507,0.83582,699.713,Swell
0.63229,1,-0.026809,0.63204,400.1883,Sag
0.78303,1.326,0.020734,0.78315,613.7562,Swell
0.6086,1,-0.039934,0.60759,370.7612,Sag
0.77498,1.2941,0.018701,0.77514,601.1916,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.63397,1,-0.026036,0.63375,402.3175,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.61046,1,-0.038672,0.60954,373.0365,Sag
0.61984,1,-0.033057,0.61927,384.5854,Sag
0.60848,1,-0.040015,0.60747,370.6206,Sag
0.6161,1,-0.035176,0.6154,379.9534,Sag
0.61069,1,-0.038522,0.60978,373.3132,Sag
0.76143,1.2392,0.015214,0.76166,580.3567,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.62206,1,-0.031863,0.62155,387.3432,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.82496,1.486,0.030908,0.82479,681.2429,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.81915,1.4644,0.029533,0.81902,671.6728,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.77362,1.2886,0.018355,0.77379,599.0872,Swell
0.61283,1,-0.037152,0.612,375.9308,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.77873,1.309,0.019651,0.77887,607.0244,Swell
0.85256,1.5866,0.037302,0.85217,727.5836,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.62963,1,-0.028062,0.62932,396.8264,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.87287,1.6586,0.041884,0.8723,762.6589,Swell
0.60859,1,-0.039937,0.60759,370.7571,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.61824,1,-0.033946,0.61762,382.6024,Sag
0.85822,1.6068,0.038589,0.85778,737.2758,Swell
0.61745,1,-0.034391,0.6168,381.631,Sag
0.64411,1,-0.021636,0.64407,415.2969,Sag
0.63287,1,-0.02654,0.63263,400.925,Sag
0.62763,1,-0.029028,0.62727,394.3159,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.83625,1.5276,0.033549,0.83599,700.0122,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.84307,1.5524,0.035127,0.84276,711.4783,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.62955,1,-0.028098,0.62924,396.7309,Sag
0.86642,1.6359,0.040441,0.86591,751.4405,Swell
0.61059,1,-0.038587,0.60967,373.1937,Sag
0.62581,1,-0.029933,0.6254,392.0256,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.88125,1.6879,0.043748,0.8806,777.3703,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.65016,1,-0.019188,0.65021,423.1366,Sag
0.6204,1,-0.032754,0.61984,385.2753,Sag
0.64944,1,-0.019477,0.64947,422.1896,Sag
0.63143,1,-0.027208,0.63116,399.1048,Sag
0.63744,1,-0.024481,0.63729,406.7396,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.79209,1.3615,0.022987,0.79216,628.0418,Swell
0.60523,1,-0.042397,0.60404,366.6638,Sag
0.60834,1,-0.040115,0.60732,370.4457,Sag
0.61697,1,-0.034668,0.6163,381.0336,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.63201,1,-0.026937,0.63175,399.8372,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.63884,1,-0.023873,0.63871,408.5193,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.86827,1.6425,0.040856,0.86774,754.6471,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.608,1,-0.04035,0.60697,370.0378,Sag
0.85026,1.5783,0.036778,0.84989,723.6696,Swell
0.63904,1,-0.023783,0.63892,408.7845,Sag
0.80974,1.429,0.027285,0.80968,656.3275,Swell
0.77181,1.2814,0.017893,0.77199,596.2857,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.6472,1,-0.020373,0.6472,419.2861,Sag
0.60959,1,-0.039257,0.60863,371.9671,Sag
0.85871,1.6086,0.0387,0.85826,738.1162,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.60386,1,-0.043473,0.6026,365.0159,Sag
0.64868,1,-0.019776,0.64871,421.2114,Sag
0.81417,1.4458,0.028349,0.81409,663.5423,Swell
0.78764,1.3441,0.021883,0.78773,620.9925,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.81617,1.4533,0.028824,0.81607,666.7964,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.86808,1.6418,0.040814,0.86756,754.3225,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.6357,1,-0.025255,0.63552,404.5183,Sag
0.64359,1,-0.021852,0.64354,414.6238,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.76874,1.269,0.017106,0.76893,591.5532,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.63141,1,-0.027218,0.63114,399.0772,Sag
0.61427,1,-0.036264,0.6135,377.7037,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.78306,1.3261,0.020739,0.78317,613.7921,Swell
0.77698,1.302,0.019208,0.77713,604.3,Swell
0.64081,1,-0.023024,0.64072,411.0477,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.87586,1.6691,0.042552,0.87526,767.896,Swell
0.63995,1,-0.02339,0.63984,409.9489,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.63579,1,-0.025213,0.63561,404.6376,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.60323,1,-0.04399,0.60193,364.2532,Sag
0.8812,1.6878,0.043739,0.88056,777.2967,Swell
0.61644,1,-0.034974,0.61576,380.3808,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.61582,1,-0.035337,0.61511,379.6146,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.64092,1,-0.022977,0.64083,411.188,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.83253,1.5139,0.032683,0.8323,693.7996,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.65004,1,-0.019239,0.65008,422.969,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.76705,1.2621,0.016671,0.76725,588.9518,Swell
0.84071,1.5438,0.034583,0.84042,707.5031,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.82843,1.4988,0.031722,0.82823,686.9748,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.84914,1.5743,0.03652,0.84878,721.7544,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.60448,1,-0.042982,0.60325,365.7574,Sag
0.60348,1,-0.043782,0.60219,364.5569,Sag
0.79016,1.354,0.02251,0.79024,624.9817,Swell
0.62279,1,-0.031476,0.62231,388.2601,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.77297,1.286,0.018189,0.77314,598.0786,Swell
0.63347,1,-0.026262,0.63324,401.6894,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.7787,1.3089,0.019643,0.77884,606.9753,Swell
0.8844,1.6989,0.044447,0.88373,782.9499,Swell
0.64887,1,-0.019701,0.6489,421.4575,Sag
0.85109,1.5813,0.036967,0.85071,725.075,Swell
0.61754,1,-0.034344,0.61689,381.7326,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.63757,1,-0.024425,0.63742,406.902,Sag
0.77053,1.2762,0.017567,0.77072,594.3163,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.61508,1,-0.035774,0.61435,378.7048,Sag
0.61689,1,-0.034717,0.61622,380.9287,Sag
0.87509,1.6664,0.042381,0.8745,766.5515,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.81614,1.4532,0.028819,0.81604,666.7583,Swell
0.60289,1,-0.044279,0.60156,363.8357,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.80407,1.4075,0.025917,0.80406,647.1783,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.77839,1.3077,0.019565,0.77853,606.4972,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.80291,1.4031,0.025635,0.8029,645.3048,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.78785,1.3449,0.021936,0.78794,621.3318,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.82688,1.4931,0.03136,0.8267,684.4194,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.82252,1.477,0.030332,0.82237,677.2189,Swell
0.64326,1,-0.02199,0.64321,414.1979,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.76841,1.2677,0.017021,0.7686,591.0415,Swell
0.78377,1.3289,0.020918,0.78388,614.9122,Swell
0.75769,1.2238,0.014235,0.75794,574.6712,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.82053,1.4696,0.029861,0.8204,673.9445,Swell
0.60747,1,-0.04073,0.60641,369.3888,Sag
0.60381,1,-0.04352,0.60254,364.9452,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.81965,1.4663,0.029651,0.81952,672.4914,Swell
0.78233,1.3233,0.020558,0.78245,612.6551,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.86175,1.6194,0.039388,0.86128,743.356,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.60649,1,-0.041444,0.60537,368.1968,Sag
0.86897,1.6449,0.041013,0.86844,755.8707,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.64985,1,-0.019314,0.64988,422.7231,Sag
0.81834,1.4614,0.029342,0.81822,670.3517,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.7935,1.3669,0.023334,0.79355,630.2742,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.79566,1.3753,0.023864,0.7957,633.7039,Swell
0.63977,1,-0.023468,0.63966,409.7185,Sag
0.63634,1,-0.024969,0.63617,405.3327,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.86416,1.6279,0.039932,0.86367,747.5201,Swell
0.64949,1,-0.019456,0.64952,422.2557,Sag
0.8015,1.3977,0.025291,0.8015,643.0371,Swell
0.77636,1.2996,0.019051,0.77651,603.3374,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.76184,1.2409,0.01532,0.76206,580.9761,Swell
0.81674,1.4554,0.02896,0.81663,667.7275,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.60487,1,-0.042675,0.60366,366.2302,Sag
0.76198,1.2415,0.015358,0.76221,581.1972,Swell
0.76515,1.2544,0.016179,0.76536,586.0345,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.60347,1,-0.043792,0.60218,364.5436,Sag
0.7823,1.3231,0.020549,0.78242,612.602,Swell
0.61319,1,-0.036924,0.61238,376.38,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.62723,1,-0.029223,0.62687,393.8162,Sag
0.60993,1,-0.039026,0.60898,372.3855,Sag
0.86693,1.6377,0.040555,0.86641,752.3198,Swell
0.63982,1,-0.023446,0.63971,409.7831,Sag
0.84334,1.5534,0.03519,0.84303,711.9378,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.63154,1,-0.027157,0.63127,399.2418,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.84552,1.5612,0.035691,0.84519,715.6209,Swell
0.60395,1,-0.043403,0.60269,365.12,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.86525,1.6318,0.040178,0.86475,749.4115,Swell
0.61875,1,-0.033659,0.61814,383.2349,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.62103,1,-0.03241,0.6205,386.067,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75805,1.2253,0.01433,0.7583,575.2187,Swell
0.87641,1.6711,0.042675,0.87581,768.8669,Swell
0.76593,1.2576,0.016383,0.76614,587.2407,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.6458,1,-0.02094,0.64579,417.4781,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.82382,1.4818,0.030639,0.82366,679.3585,Swell
0.87609,1.6699,0.042602,0.87549,768.2938,Swell
0.79212,1.3616,0.022993,0.79218,628.0811,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.62671,1,-0.029481,0.62633,393.1614,Sag
0.75336,1.2059,0.013091,0.75362,568.1132,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.88426,1.6984,0.044415,0.88358,782.6954,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.64948,1,-0.019457,0.64952,422.2521,Sag
